company_exchange_name,company_id,company_industry_name,company_industry_sector,company_is_delisted,company_name,company_sic_industry,company_sic_sector,company_ticket
NASDAQ,51,Biotechnology,Healthcare,TRUE,ABRAXIS BIOSCIENCE INC,Pharmaceutical Preparations,Manufacturing,ABII
NASDAQ,61,Biotechnology,Healthcare,TRUE,AMERICAN BIO MEDICA CORP,Pharmaceutical Preparations,Manufacturing,ABMC
NASDAQ,68,Biotechnology,Healthcare,TRUE,ACCENTIA BIOPHARMACEUTICALS INC,Pharmaceutical Preparations,Manufacturing,ABPI
NASDAQ,75,Biotechnology,Healthcare,TRUE,ALPHA BETA TECHNOLOGY INC,Pharmaceutical Preparations,Manufacturing,ABTI1
NASDAQ,105,Biotechnology,Healthcare,TRUE,ACER THERAPEUTICS INC,Pharmaceutical Preparations,Manufacturing,ACER
NASDAQ,116,Biotechnology,Healthcare,TRUE,ACHILLION PHARMACEUTICALS INC,Pharmaceutical Preparations,Manufacturing,ACHN
NASDAQ,161,Biotechnology,Healthcare,TRUE,ACURA PHARMACEUTICALS INC,Pharmaceutical Preparations,Manufacturing,ACUR
NASDAQ,162,Biotechnology,Healthcare,TRUE,ACUSPHERE INC,Pharmaceutical Preparations,Manufacturing,ACUS
NASDAQ,189,Biotechnology,Healthcare,TRUE,ADOLOR CORP,Pharmaceutical Preparations,Manufacturing,ADLR
NASDAQ,200,Biotechnology,Healthcare,TRUE,ANDRX CORP,Pharmaceutical Preparations,Manufacturing,ADRX
NASDAQ,218,Biotechnology,Healthcare,TRUE,AYALA PHARMACEUTICALS INC,Pharmaceutical Preparations,Manufacturing,ADXS
NASDAQ,227,Biotechnology,Healthcare,TRUE,AEGERION PHARMACEUTICALS INC,Pharmaceutical Preparations,Manufacturing,AEGR
NASDAQ,264,Biotechnology,Healthcare,TRUE,AFFYMAX INC,Pharmaceutical Preparations,Manufacturing,AFFY
NASDAQ,297,Biotechnology,Healthcare,TRUE,ATHEROGENICS INC,Pharmaceutical Preparations,Manufacturing,AGIXQ
NASDAQ,302,Biotechnology,Healthcare,TRUE,AGOURON PHARMACEUTICALS INC,Pharmaceutical Preparations,Manufacturing,AGPH
NASDAQ,337,Biotechnology,Healthcare,TRUE,AIMMUNE THERAPEUTICS INC,Pharmaceutical Preparations,Manufacturing,AIMT
NASDAQ,359,Biotechnology,Healthcare,TRUE,ACHAOGEN INC,Pharmaceutical Preparations,Manufacturing,AKAOQ
