date,day_of_week,month,quarter,time_id,year
06/11/24,Tuesday,June,2,1,2024
06/12/24,Wednesday,June,2,2,2024
06/13/24,Thursday,June,2,3,2024
06/14/24,Friday,June,2,4,2024
06/15/24,Saturday,June,2,5,2024
06/16/24,Sunday,June,2,6,2024
06/17/24,Monday,June,2,7,2024
06/18/24,Tuesday,June,2,8,2024
06/19/24,Wednesday,June,2,9,2024
06/20/24,Thursday,June,2,10,2024
06/21/24,Friday,June,2,11,2024
06/22/24,Saturday,June,2,12,2024
06/23/24,Sunday,June,2,13,2024
06/24/24,Monday,June,2,14,2024
