new_topic_id,new_topic_new_id,new_topic_relevance_score,new_topic_topic_id
1,1,1,9
12,10,1,9
21,15,1,9
28,21,1,9
38,28,1,9
57,37,1,9
60,39,1,9
61,40,1,9
115,59,1,9
131,65,1,9
154,76,1,9
162,81,1,9
172,85,1,9
203,97,1,9
215,101,1,9
228,105,1,9
272,121,1,9
286,126,1,9
288,127,1,9
326,147,1,9
329,148,1,9
334,151,1,9
335,349,1,9
336,354,1,9
337,392,1,9
338,493,1,9
339,713,1,9
342,153,1,9
347,156,1,9
349,157,1,9
358,161,1,9
383,172,1,9
395,179,1,9
401,181,1,9
404,183,1,9
406,184,1,9
410,186,1,9
427,195,1,9
428,196,1,9
434,199,1,9
438,202,1,9
469,208,1,9
470,210,1,9
478,213,1,9
509,229,1,9
511,230,1,9
514,232,1,9
525,237,1,9
526,238,1,9
554,250,1,9
564,256,1,9
584,264,1,9
589,267,1,9
592,269,1,9
594,270,1,9
609,276,1,9
614,277,1,9
636,285,1,9
644,288,1,9
655,294,1,9
669,301,1,9
675,303,1,9
699,318,1,9
732,328,1,9
734,329,1,9
842,376,1,9
844,377,1,9
850,380,1,9
863,388,1,9
871,391,1,9
882,395,1,9
890,398,1,9
932,412,1,9
944,416,1,9
946,417,1,9
957,424,1,9
1004,446,1,9
1030,456,1,9
1042,461,1,9
1061,471,1,9
1068,475,1,9
1108,489,1,9
1119,494,1,9
1126,501,1,9
1135,506,1,9
1137,509,1,9
1143,512,1,9
1149,514,1,9
1157,517,1,9
1160,519,1,9
1212,537,1,9
1239,551,1,9
1240,554,1,9
1252,551,1,9
1253,554,1,9
1261,556,1,9
1263,558,1,9
1270,563,1,9
1292,577,1,9
1307,581,1,9
1324,587,1,9
1354,601,1,9
1426,626,1,9
1461,643,1,9
1503,659,1,9
1513,663,1,9
1523,668,1,9
1524,764,1,9
1526,669,1,9
1528,670,1,9
1529,671,1,9
1530,673,1,9
1548,680,1,9
1562,685,1,9
1571,689,1,9
1588,700,1,9
1720,746,1,9
1729,750,1,9
1731,751,1,9
1733,752,1,9
1754,761,1,9
1775,775,1,9
1793,783,1,9
1816,793,1,9
1818,794,1,9
1823,798,1,9
1850,811,1,9
1854,814,1,9
1876,826,1,9
1895,834,1,9
1896,842,1,9
1904,840,1,9
1907,834,1,9
1908,842,1,9
1933,849,1,9
1952,857,1,9
1955,860,1,9
1956,861,1,9
1967,866,1,9
1973,869,1,9
1989,877,1,9
2009,888,1,9
2014,890,1,9
2035,899,1,9
2050,905,1,9
2061,908,1,9
2075,915,1,9
2077,916,1,9
2092,923,1,9
2119,935,1,9
2127,938,1,9
2148,947,1,9
2193,963,1,9
2207,972,1,9
2209,975,1,9
2215,978,1,9
2225,983,1,9
2245,989,1,9
2284,1003,1,9
2297,1012,1,9
2313,1017,1,9
2331,1025,1,9
2353,1035,1,9
2355,1036,1,9
2357,1037,1,9
2358,1038,1,9
2411,1059,1,9
2413,1061,1,9
2415,1062,1,9
2416,1063,1,9
2454,1080,1,9
2511,1102,1,9
2517,1104,1,9
2530,1109,1,9
2540,1113,1,9
2543,1114,1,9
2546,1115,1,9
2552,1118,1,9
2576,1133,1,9
2604,1142,1,9
2634,1150,1,9
2635,1151,1,9
2639,1154,1,9
2695,1178,1,9
2729,1193,1,9
2757,1197,1,9
2814,1201,1,9
2855,1205,1,9
2876,1207,1,9
2881,1209,1,9
2883,1210,1,9
2901,1216,1,9
2924,1224,1,9
2937,1228,1,9
2949,1233,1,9
2958,1236,1,9
3036,1270,1,9
3049,1275,1,9
3103,1294,1,9
3130,1311,1,9
3133,1312,1,9
3141,1317,1,9
3160,1327,1,9
3172,1334,1,9
3180,1339,1,9
3198,1350,1,9
3240,1358,1,9
3278,1368,1,9
3281,1369,1,9
3309,1381,1,9
3321,1385,1,9
3323,1386,1,9
3330,1390,1,9
3360,1404,1,9
3378,1413,1,9
3384,1415,1,9
3390,1417,1,9
3417,1425,1,9
3421,1427,1,9
3438,1435,1,9
3448,1442,1,9
3496,1467,1,9
3515,1476,1,9
3517,1477,1,9
3528,1484,1,9
3541,1493,1,9
3542,1494,1,9
3570,1506,1,9
3576,1508,1,9
3588,1513,1,9
3605,1520,1,9
3617,1525,1,9
3624,1528,1,9
3631,1531,1,9
3637,1536,1,9
3639,1537,1,9
3679,1556,1,9
3689,1560,1,9
3702,1565,1,9
3703,1567,1,9
3705,1566,1,9
3709,1565,1,9
3710,1567,1,9
3737,1578,1,9
3762,1587,1,9
3782,1595,1,9
3802,1604,1,9
3806,1608,1,9
3809,1610,1,9
3811,1612,1,9
3825,1621,1,9
3840,1629,1,9
3841,1630,1,9
3881,1646,1,9
3924,1665,1,9
3959,1678,1,9
3961,1679,1,9
4003,1693,1,9
4018,1699,1,9
4034,1707,1,9
4037,1708,1,9
