candle_close,candle_company_id,candle_high,candle_id,candle_is_otc,candle_low,candle_num_of_trades,candle_open,candle_time_stamp,candle_volume,candle_volume_weighted,candles_time_id
2.61,206,3.0,409,,2.55,732,2.98,1720036800000,91774,2.7839,3
10.07,207,10.08,410,,10.06,223,10.06,1720036800000,204519,10.0692,3
2.61,206,3.0,411,,2.55,732,2.98,1720036800000,91774,2.7839,4
10.07,207,10.08,412,,10.06,223,10.06,1720036800000,204519,10.0692,4
0.0225,215,0.05,413,True,0.0212,713,0.041,1720036800000,4825117,0.0314,4
0.13,216,0.17,414,True,0.07,374,0.1,1720036800000,994008,0.1096,4
0.001,219,0.004,415,True,0.001,7,0.004,1720036800000,65506,0.001943,4
0.0225,221,0.05,416,True,0.0212,713,0.041,1720036800000,4825117,0.0314,4
0.13,222,0.17,417,True,0.07,374,0.1,1720036800000,994008,0.1096,4
0.001,225,0.004,418,True,0.001,7,0.004,1720036800000,65506,0.001943,4
2.61,206,3.0,419,,2.55,732,2.98,1720036800000,91774,2.7839,4
10.07,207,10.08,420,,10.06,223,10.06,1720036800000,204519,10.0692,4
0.0225,215,0.05,421,True,0.0212,713,0.041,1720036800000,4825117,0.0314,4
0.13,216,0.17,422,True,0.07,374,0.1,1720036800000,994008,0.1096,4
0.001,219,0.004,423,True,0.001,7,0.004,1720036800000,65506,0.001943,4
0.0225,221,0.05,424,True,0.0212,713,0.041,1720036800000,4825117,0.0314,4
0.13,222,0.17,425,True,0.07,374,0.1,1720036800000,994008,0.1096,4
0.001,225,0.004,426,True,0.001,7,0.004,1720036800000,65506,0.001943,4
